Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,484137,-,-,-,39.73,-104.98,-7,1604,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,Temperature,DHI,DNI,GHI,Relative Humidity,Solar Zenith Angle,Pressure,Wind Speed,Cloud Type
2019,1,1,0,0,-14.600000000000001,0,0,0,56.11,163.28,828,1.9000000000000001,4
2019,1,1,0,30,-14.600000000000001,0,0,0,56.11,162.36,828,1.7000000000000002,4
2019,1,1,1,0,-14.600000000000001,0,0,0,55.7,159.43,828,1.5,4
2019,1,1,1,30,-14.600000000000001,0,0,0,55.7,155.20000000000002,828,1.2000000000000002,7
2019,1,1,2,0,-14.5,0,0,0,55.38,150.23,828,1,7
2019,1,1,2,30,-14.5,0,0,0,55.32,144.86,827,0.9,7
2019,1,1,3,0,-14.5,0,0,0,55.300000000000004,139.26,827,0.8,7
2019,1,1,3,30,-14.4,0,0,0,54.85,133.55,827,0.9,7
2019,1,1,4,0,-14.3,0,0,0,54.4,127.79,826,1,7
2019,1,1,4,30,-14.100000000000001,0,0,0,53.52,122.03,826,1.1,7
2019,1,1,5,0,-13.9,0,0,0,54.04,116.3,826,1.2000000000000002,7
2019,1,1,5,30,-13.600000000000001,0,0,0,52.730000000000004,110.64,826,1.3,7
2019,1,1,6,0,-13.4,0,0,0,53.49,105.08,826,1.3,7
2019,1,1,6,30,-13.100000000000001,0,0,0,52.2,99.66,826,1.3,7
2019,1,1,7,0,-12.9,0,0,0,52.13,94.4,826,1.4000000000000001,7
2019,1,1,7,30,-12.3,10,78,11,49.660000000000004,88.99,826,1.6,7
2019,1,1,8,0,-11.700000000000001,32,274,59,49.28,84.41,826,1.8,7
2019,1,1,8,30,-10.700000000000001,53,404,123,45.5,79.96000000000001,826,1.9000000000000001,4
2019,1,1,9,0,-9.8,68,509,192,45.38,75.85000000000001,826,1.9000000000000001,4
2019,1,1,9,30,-8.5,73,625,264,40.94,72.16,825,1.7000000000000002,7
2019,1,1,10,0,-7.2,113,492,290,41.22,68.97,825,1.5,4
2019,1,1,10,30,-6.1000000000000005,124,536,339,37.84,66.36,824,1.3,4
2019,1,1,11,0,-4.9,99,700,401,38.21,64.4,824,1.1,4
2019,1,1,11,30,-4.1000000000000005,71,901,478,35.93,63.160000000000004,823,1.2000000000000002,4
2019,1,1,12,0,-3.3000000000000003,66,974,513,36.18,62.67,823,1.4000000000000001,4
2019,1,1,12,30,-2.8000000000000003,66,983,513,34.82,62.97,822,1.6,4
2019,1,1,13,0,-2.4000000000000004,63,977,491,35.26,64.03,822,1.8,0
2019,1,1,13,30,-2.4000000000000004,60,966,456,35.26,65.83,822,1.9000000000000001,0
2019,1,1,14,0,-2.3000000000000003,57,942,405,35.71,68.29,822,2,0
2019,1,1,14,30,-2.8000000000000003,52,905,341,37.1,71.35000000000001,823,2.2,0
2019,1,1,15,0,-3.3000000000000003,45,836,263,38.37,74.92,823,2.4000000000000004,0
2019,1,1,15,30,-4.9,39,758,184,43.26,78.94,823,2.2,0
2019,1,1,16,0,-6.4,29,624,102,45.22,83.32000000000001,824,2,0
2019,1,1,16,30,-6.4,17,305,28,45.22,87.91,824,2,0
2019,1,1,17,0,-8.700000000000001,0,0,0,50.83,93.16,825,1.4000000000000001,0
2019,1,1,17,30,-9.3,0,0,0,53.27,98.38,825,1.3,0
2019,1,1,18,0,-9.9,0,0,0,54.49,103.77,825,1.1,0
2019,1,1,18,30,-10.200000000000001,0,0,0,55.800000000000004,109.3,825,1.4000000000000001,0
2019,1,1,19,0,-10.4,0,0,0,56.71,114.93,825,1.6,0
2019,1,1,19,30,-10.3,0,0,0,56.27,120.64,825,1.8,0
2019,1,1,20,0,-10.3,0,0,0,56.63,126.4,825,1.9000000000000001,0
2019,1,1,20,30,-10.200000000000001,0,0,0,56.18,132.16,825,1.9000000000000001,0
2019,1,1,21,0,-10.100000000000001,0,0,0,55.77,137.89000000000001,825,2,0
2019,1,1,21,30,-10.100000000000001,0,0,0,55.77,143.51,825,2,0
2019,1,1,22,0,-10,0,0,0,55.13,148.95000000000002,825,2.1,0
2019,1,1,22,30,-9.8,0,0,0,54.27,154.02,825,2.1,0
2019,1,1,23,0,-9.700000000000001,0,0,0,53.32,158.46,825,2,0
2019,1,1,23,30,-9.5,0,0,0,52.49,161.75,825,2,0
2019,1,2,0,0,-9.3,0,0,0,50.63,163.19,825,1.9000000000000001,0
2019,1,2,0,30,-9.1,0,0,0,49.84,162.31,825,1.9000000000000001,0
2019,1,2,1,0,-8.9,0,0,0,47.88,159.42000000000002,825,1.9000000000000001,0
2019,1,2,1,30,-8.700000000000001,0,0,0,47.14,155.21,825,1.8,0
2019,1,2,2,0,-8.6,0,0,0,46.03,150.25,825,1.8,0
2019,1,2,2,30,-8.4,0,0,0,45.32,144.89000000000001,825,1.7000000000000002,0
2019,1,2,3,0,-8.200000000000001,0,0,0,43.84,139.3,825,1.6,0
2019,1,2,3,30,-8,0,0,0,43.160000000000004,133.59,825,1.6,0
2019,1,2,4,0,-7.800000000000001,0,0,0,41.57,127.83,825,1.6,0
2019,1,2,4,30,-7.5,0,0,0,40.62,122.07000000000001,825,1.6,0
2019,1,2,5,0,-7.2,0,0,0,38.68,116.34,825,1.6,0
2019,1,2,5,30,-7,0,0,0,38.08,110.68,825,1.5,0
2019,1,2,6,0,-6.7,0,0,0,36.52,105.12,825,1.5,0
2019,1,2,6,30,-6.4,0,0,0,35.730000000000004,99.69,826,1.5,0
2019,1,2,7,0,-6.1000000000000005,0,0,0,34.77,94.42,826,1.4000000000000001,8
