timestamp,power,temperature,total_irradiance,wind_speed,direct_irradiance,diffuse_irradiance,relative_humidity,pressure,cloud_type,solar_elevation,dni_ratio,dew_point,air_mass,clearness_index,cell_temperature,hour,day_of_week,month,day_of_year
2019-01-01 00:00:00,0.0,-14.6,0,1.9,0,0,56.11,828,4,-73.28,0.0,-23.378,57.2986884985499,-0.0,-14.6,0,1,1,1
2019-01-01 00:30:00,0.0,-14.6,0,1.7000000000000002,0,0,56.11,828,4,-72.36000000000001,0.0,-23.378,57.2986884985499,-0.0,-14.6,0,1,1,1
2019-01-01 01:00:00,0.0,-14.6,0,1.5,0,0,55.7,828,4,-69.43,0.0,-23.46,57.2986884985499,-0.0,-14.6,1,1,1,1
2019-01-01 01:30:00,0.0,-14.6,0,1.2000000000000002,0,0,55.7,828,7,-65.20000000000002,0.0,-23.46,57.2986884985499,-0.0,-14.6,1,1,1,1
2019-01-01 02:00:00,0.0,-14.5,0,1.0,0,0,55.38,828,7,-60.22999999999999,0.0,-23.424,57.2986884985499,-0.0,-14.5,2,1,1,1
2019-01-01 02:30:00,0.0,-14.5,0,0.9,0,0,55.32,827,7,-54.860000000000014,0.0,-23.436,57.2986884985499,-0.0,-14.5,2,1,1,1
2019-01-01 03:00:00,0.0,-14.5,0,0.8,0,0,55.3,827,7,-49.25999999999999,0.0,-23.44,57.2986884985499,-0.0,-14.5,3,1,1,1
2019-01-01 03:30:00,0.0,-14.4,0,0.9,0,0,54.85,827,7,-43.55000000000001,0.0,-23.43,57.2986884985499,-0.0,-14.4,3,1,1,1
2019-01-01 04:00:00,0.0,-14.3,0,1.0,0,0,54.4,826,7,-37.790000000000006,0.0,-23.42,57.2986884985499,-0.0,-14.3,4,1,1,1
2019-01-01 04:30:00,0.0,-14.1,0,1.1,0,0,53.52,826,7,-32.03,0.0,-23.396,57.2986884985499,-0.0,-14.1,4,1,1,1
2019-01-01 05:00:00,0.0,-13.9,0,1.2000000000000002,0,0,54.04,826,7,-26.299999999999997,0.0,-23.092,57.2986884985499,-0.0,-13.9,5,1,1,1
2019-01-01 05:30:00,0.0,-13.6,0,1.3,0,0,52.73,826,7,-20.64,0.0,-23.054000000000002,57.2986884985499,-0.0,-13.6,5,1,1,1
2019-01-01 06:00:00,0.0,-13.4,0,1.3,0,0,53.49,826,7,-15.079999999999998,0.0,-22.701999999999998,57.2986884985499,-0.0,-13.4,6,1,1,1
2019-01-01 06:30:00,0.0,-13.1,0,1.3,0,0,52.2,826,7,-9.659999999999997,0.0,-22.659999999999997,57.2986884985499,-0.0,-13.1,6,1,1,1
2019-01-01 07:00:00,0.0,-12.9,0,1.4,0,0,52.13,826,7,-4.400000000000006,0.0,-22.474,57.2986884985499,-0.0,-12.9,7,1,1,1
2019-01-01 07:30:00,1702.7472,-12.3,88,1.6,78,10,49.66,826,7,1.0100000000000051,0.8863636262913225,-22.368000000000002,56.73143264482935,1.0,-9.55,7,1,1,1
2019-01-01 08:00:00,5766.6771,-11.7,306,1.8,274,32,49.28,826,7,5.590000000000003,0.8954248336750823,-21.844,10.265970947319632,1.0,-2.1374999999999993,8,1,1,1
2019-01-01 08:30:00,8434.609075,-10.7,457,1.9,404,53,45.5,826,4,10.039999999999992,0.8840262562712773,-21.6,5.736061086864117,1.0,3.5812500000000007,8,1,1,1
2019-01-01 09:00:00,10466.938675,-9.8,577,1.9,509,68,45.38,826,4,14.149999999999991,0.8821490452649063,-20.724,4.090627158847355,1.0,8.23125,9,1,1,1
2019-01-01 09:30:00,12420.735500000003,-8.5,698,1.7000000000000002,625,73,40.94,825,7,17.840000000000003,0.8954154714965394,-20.312,3.2641343155458022,1.0,13.3125,9,1,1,1
2019-01-01 10:00:00,10831.904875,-7.2,605,1.5,492,113,41.22,825,4,21.03,0.8132231391516973,-18.956,2.7866274721537523,1.0,11.70625,10,1,1,1
2019-01-01 10:30:00,11690.118000000002,-6.1000000000000005,660,1.3,536,124,37.84,824,4,23.64,0.8121212108907254,-18.532,2.493836005413577,1.0,14.524999999999999,10,1,1,1
2019-01-01 11:00:00,13850.924675000002,-4.9,799,1.1,700,99,38.21,824,4,25.599999999999994,0.8760951178021338,-17.258000000000003,2.314355432394238,1.0,20.06875,11,1,1,1
2019-01-01 11:30:00,16439.727600000002,-4.1000000000000005,972,1.2000000000000002,901,71,35.93,823,4,26.840000000000003,0.9269547315566309,-16.913999999999998,2.2148366122154144,1.0,26.275,11,1,1,1
2019-01-01 12:00:00,17382.976000000002,-3.3000000000000003,1040,1.4,974,66,36.18,823,4,27.33,0.9365384606379437,-16.064,2.1781046141000386,1.0,29.2,12,1,1,1
2019-01-01 12:30:00,17477.677475,-2.8000000000000003,1049,1.6,983,66,34.82,822,4,27.03,0.9370829352363365,-15.836000000000002,2.200428361119046,1.0,29.98125,12,1,1,1
2019-01-01 13:00:00,17319.328,-2.4000000000000004,1040,1.8,977,63,35.26,822,0,25.97,0.9394230760197854,-15.348000000000003,2.2836238994204634,1.0,30.1,13,1,1,1
2019-01-01 13:30:00,17116.7067,-2.4000000000000004,1026,1.9,966,60,35.26,822,0,24.17,0.9415204669185959,-15.348000000000003,2.4423281293152876,1.0,29.6625,13,1,1,1
2019-01-01 14:00:00,16716.791475,-2.3000000000000003,999,2.0,942,57,35.71,822,0,21.709999999999994,0.9429429419990562,-15.158,2.703368199860898,1.0,28.91875,14,1,1,1
2019-01-01 14:30:00,16131.933675000002,-2.8000000000000003,957,2.2,905,52,37.1,823,0,18.64999999999999,0.9456635308822743,-15.38,3.127088585324968,1.0,27.10625,14,1,1,1
2019-01-01 15:00:00,15023.054275,-3.3000000000000003,881,2.4000000000000004,836,45,38.37,823,0,15.079999999999998,0.948921678832098,-15.626000000000001,3.843677937259789,1.0,24.23125,15,1,1,1
2019-01-01 15:30:00,13819.641275000002,-4.9,797,2.2,758,39,43.26,823,0,11.060000000000002,0.9510664981793394,-16.248,5.212762874550717,1.0,20.00625,15,1,1,1
2019-01-01 16:00:00,11589.166475000002,-6.4,653,2.0,624,29,45.22,824,0,6.679999999999993,0.9555895850603529,-17.356,8.596674693159073,1.0,14.00625,16,1,1,1
2019-01-01 16:30:00,5941.205900000001,-6.4,322,2.0,305,17,45.22,824,0,2.0900000000000034,0.9472049660024691,-17.356,27.420329078317042,1.0,3.6624999999999996,16,1,1,1
2019-01-01 17:00:00,0.0,-8.700000000000001,0,1.4,0,0,50.83,825,0,-3.1599999999999966,0.0,-18.534,57.2986884985499,-0.0,-8.700000000000001,17,1,1,1
2019-01-01 17:30:00,0.0,-9.3,0,1.3,0,0,53.27,825,0,-8.379999999999995,0.0,-18.646,57.2986884985499,-0.0,-9.3,17,1,1,1
2019-01-01 18:00:00,0.0,-9.9,0,1.1,0,0,54.49,825,0,-13.769999999999996,0.0,-19.002000000000002,57.2986884985499,-0.0,-9.9,18,1,1,1
